

DATE,M1NS_WSAVNS
1976-01-01,458.100
1976-02-01,456.100
1976-03-01,465.000
1976-04-01,476.400
1976-05-01,474.100
1976-06-01,478.400
1976-07-01,483.300
1976-08-01,483.700
1976-09-01,487.300
1976-10-01,495.800
1976-11-01,501.900
1976-12-01,513.900
1977-01-01,518.200
1977-02-01,512.200
1977-03-01,519.900
1977-04-01,531.600
1977-05-01,525.800
1977-06-01,532.000
1977-07-01,538.300
1977-08-01,536.500
1977-09-01,540.000
1977-10-01,544.300
1977-11-01,547.500
1977-12-01,555.400
1978-01-01,557.100
1978-02-01,546.800
1978-03-01,552.400
1978-04-01,565.300
1978-05-01,561.700
1978-06-01,568.000
1978-07-01,571.400
1978-08-01,569.600
1978-09-01,574.400
1978-10-01,575.600
1978-11-01,574.900
1978-12-01,580.700
1979-01-01,573.200
1979-02-01,560.300
1979-03-01,565.300
1979-04-01,578.500
1979-05-01,569.700
1979-06-01,579.500
1979-07-01,586.700
1979-08-01,584.700
1979-09-01,585.600
1979-10-01,582.700
1979-11-01,578.800
1979-12-01,584.700
1980-01-01,582.600
1980-02-01,567.900
1980-03-01,564.700
1980-04-01,562.900
1980-05-01,556.000
1980-06-01,571.400
1980-07-01,584.200
1980-08-01,590.400
1980-09-01,597.200
1980-10-01,603.900
1980-11-01,824.5
1980-12-01,807.6
1981-01-01,793.9
1981-02-01,777.3
1981-03-01,786.8
1981-04-01,802.2
1981-05-01,784.5
1981-06-01,785.9
1981-07-01,788.7
1981-08-01,775.6
1981-09-01,772.3
1981-10-01,770.9
1981-11-01,774.9
1981-12-01,787.5
1982-01-01,792.7
1982-02-01,774.9
1982-03-01,781.0
1982-04-01,794.8
1982-05-01,786.6
1982-06-01,790.8
1982-07-01,793.9
1982-08-01,792.6
1982-09-01,800.7
1982-10-01,820.2
1982-11-01,835.0
1982-12-01,912.2
1983-01-01,1043.5
1983-02-01,1091.1
1983-03-01,1131.5
1983-04-01,1161.8
1983-05-01,1179.0
1983-06-01,1191.7
1983-07-01,1201.8
1983-08-01,1190.9
1983-09-01,1194.0
1983-10-01,1197.6
1983-11-01,1203.7
1983-12-01,1213.2
1984-01-01,1213.3
1984-02-01,1208.3
1984-03-01,1223.6
1984-04-01,1239.3
1984-05-01,1232.1
1984-06-01,1238.5
1984-07-01,1234.5
1984-08-01,1220.9
1984-09-01,1222.4
1984-10-01,1226.5
1984-11-01,1243.4
1984-12-01,1270.9
1985-01-01,1284.8
1985-02-01,1289.7
1985-03-01,1305.4
1985-04-01,1321.1
1985-05-01,1327.2
1985-06-01,1356.0
1985-07-01,1376.7
1985-08-01,1386.0
1985-09-01,1397.7
1985-10-01,1410.0
1985-11-01,1426.1
1985-12-01,1445.2
1986-01-01,1442.2
1986-02-01,1432.4
1986-03-01,1454.0
1986-04-01,1481.6
1986-05-01,1498.4
1986-06-01,1529.7
1986-07-01,1553.2
1986-08-01,1568.8
1986-09-01,1587.0
1986-10-01,1612.3
1986-11-01,1640.5
1986-12-01,1679.4
1987-01-01,1688.3
1987-02-01,1674.9
1987-03-01,1691.1
1987-04-01,1717.7
1987-05-01,1710.0
1987-06-01,1710.3
1987-07-01,1713.1
1987-08-01,1703.7
1987-09-01,1698.0
1987-10-01,1703.0
1987-11-01,1694.4
1987-12-01,1696.3
1988-01-01,1697.7
1988-02-01,1679.0
1988-03-01,1695.2
1988-04-01,1718.1
1988-05-01,1710.8
1988-06-01,1729.2
1988-07-01,1738.3
1988-08-01,1723.2
1988-09-01,1711.7
1988-10-01,1710.5
1988-11-01,1716.5
1988-12-01,1724.1
1989-01-01,1696.0
1989-02-01,1668.8
1989-03-01,1667.0
1989-04-01,1663.7
1989-05-01,1625.0
1989-06-01,1630.6
1989-07-01,1644.3
1989-08-01,1643.9
1989-09-01,1646.5
1989-10-01,1662.3
1989-11-01,1679.1
1989-12-01,1701.0
1990-01-01,1693.1
1990-02-01,1687.5
1990-03-01,1705.4
1990-04-01,1722.1
1990-05-01,1705.8
1990-06-01,1722.4
1990-07-01,1727.2
1990-08-01,1733.2
1990-09-01,1734.6
1990-10-01,1735.0
1990-11-01,1747.6
1990-12-01,1760.5
1991-01-01,1751.5
1991-02-01,1753.6
1991-03-01,1783.5
1991-04-01,1806.8
1991-05-01,1813.0
1991-06-01,1840.1
1991-07-01,1855.0
1991-08-01,1863.6
1991-09-01,1868.8
1991-10-01,1893.6
1991-11-01,1926.5
1991-12-01,1956.3
1992-01-01,1977.1
1992-02-01,1999.3
1992-03-01,2037.6
1992-04-01,2065.6
1992-05-01,2067.8
1992-06-01,2080.6
1992-07-01,2104.6
1992-08-01,2123.0
1992-09-01,2142.6
1992-10-01,2173.6
1992-11-01,2203.1
1992-12-01,2223.6
1993-01-01,2215.7
1993-02-01,2204.8
1993-03-01,2218.3
1993-04-01,2242.0
1993-05-01,2256.9
1993-06-01,2272.7
1993-07-01,2287.6
1993-08-01,2294.4
1993-09-01,2302.8
1993-10-01,2319.4
1993-11-01,2342.7
1993-12-01,2364.1
1994-01-01,2352.5
1994-02-01,2340.2
1994-03-01,2356.4
1994-04-01,2369.7
1994-05-01,2348.8
1994-06-01,2351.5
1994-07-01,2358.2
1994-08-01,2339.4
1994-09-01,2329.3
1994-10-01,2318.1
1994-11-01,2318.1
1994-12-01,2316.4
1995-01-01,2277.2
1995-02-01,2239.8
1995-03-01,2237.8
1995-04-01,2244.6
1995-05-01,2225.0
